"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Framework for Detection and Identification the Components of Arguments in Arabic Legal Texts","K. Jasim; A. T. Sadiq; H. S. Abdullah","University of Technology,Computer Sciences Department,Baghdad,Iraq; University of Technology,Computer Sciences Department,Baghdad,Iraq; University of Technology,Computer Sciences Department,Baghdad,Iraq","2019 First International Conference of Computer and Applied Sciences (CAS)","23 Apr 2020","2019","","","67","72","Argument mining processes in the legal domain it is aiming to detect and extract the premises, claims and their relations automatically from unstructured legal texts to provide structured data that can be processable by argumentation models. This paper presents a framework to detect and identify the components of arguments in texts of Arabic legal documents. The framework proposes a computational model adopts the supervised learning that integrates an annotated Arabic Legal Text corpus (ALTC), it is a collection of Iraq's Federal Court of Cassation decision documents with different binary classifiers based on relevant features to detect and identify the components of arguments from legal decisions texts as a final goal. The results of the framework experiments are promising, especially this paper is the first in argumentation mining processing at the level of the Arabic texts.","","978-1-7281-4048-3","10.1109/CAS47993.2019.9075650","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9075650","Arguments detection;legal text analysis;machine learning;information extraction","Law;Feature extraction;Computational modeling;Data mining;Machine learning;Task analysis","data mining;law administration;natural language processing;pattern classification;supervised learning;text analysis","Arabic legal documents;argumentation mining processing;argument mining processes;unstructured legal texts;argumentation models;legal decision texts;Arabic legal text corpus;Iraq Federal Court of Cassation decision documents;supervised learning;binary classifiers","","","","19","","23 Apr 2020","","","IEEE","IEEE Conferences"
"Improving legal information retrieval using the Wikipedia knowledge base, legal ontology and the Eurovoc Thesaurus","S. Cornoiu; H. Valean","ANAF Cluj, Cluj-Napoca, Romania; Dept. of Automation, Technical University of Cluj-Napoca, Romania","2015 19th International Conference on System Theory, Control and Computing (ICSTCC)","9 Nov 2015","2015","","","111","116","The ability to find relevant legal information is a fundamental component of a legal experts and AI. We propose a model for legal information retrieval that exploits the capabilities of a legal ontology enriching it with knowledge extracted from Wikipedia.","","978-1-4799-8481-7","10.1109/ICSTCC.2015.7321278","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7321278","information retrieval;semantic web","Law;Ontologies;Thesauri;Encyclopedias;Electronic publishing","information retrieval;knowledge acquisition;knowledge based systems;law administration;ontologies (artificial intelligence);thesauri;Web sites","legal information retrieval;legal ontology;knowledge extraction;Wikipedia knowledge base;Eurovoc thesaurus;AI","","","","21","","9 Nov 2015","","","IEEE","IEEE Conferences"
"Event Extraction for Criminal Legal Text","Q. Li; Q. Zhang; J. Yao; Y. Zhang","East China Normal University,Shanghai; East China Normal University,Shanghai; East China Normal University,Shanghai; Shanghai Electric Vehicle Public Data Collecting, Monitoring and Research Center,Shanghai","2020 IEEE International Conference on Knowledge Graph (ICKG)","11 Sep 2020","2020","","","573","580","This paper concerns with the actual problems in the legal work. We apply event extraction technology to the case description part in the Chinese legal text. We define the event type, event argument and event argument role of the larceny case, and construct a larceny case event extraction dataset through data annotation. We divide event extraction into two steps: event trigger word and argument joint extraction and event argument role assignment. We use BERT to obtain Chinese character vectors, use the BiLSTM-CRF model for extraction at the first step, and combine additional features with the extraction results of the first step, then input them to the CRF model of the second step to obtain an improvement in extraction result. We display the extracted event information in time series to realize the litigation visualization. We format Chinese time expressions, sorts the event information in tine series, and develops a Web application to display the timeline of event information.","","978-1-7281-8156-1","10.1109/ICBK50248.2020.00086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9194466","Chinese legal text;event dataset construction;event extraction;litigation visualization","Law;Data mining;Feature extraction;Task analysis;Machine learning;Data visualization","data visualisation;feature extraction;information retrieval;law administration;natural language processing;recurrent neural nets;text analysis","Chinese character vectors;event information;criminal legal text;event extraction technology;case description part;Chinese legal text;larceny case event extraction dataset;argument joint extraction;event argument role assignment;event trigger word;BiLSTM-CRF model;BERT;litigation visualization","","","","18","","11 Sep 2020","","","IEEE","IEEE Conferences"
"Corpus for the legal information processing system (CLIPS): A Chinese legal corpus annotated with discourse information","H. Wang; Y. Ge","Foreign Languages College, Shandong Normal University, Ji'nan, China; Foreign Languages College, Shandong Normal University, Ji'nan, China","2017 International Conference on Asian Language Processing (IALP)","22 Feb 2018","2017","","","18","22","The paper presents the Corpus for the Legal Information Processing System, a corpus annotated with discourse relations based on Discourse Information Theory (DIT) that takes account of both macro- and micro-structures at discourse level. The information units and information elements in Chinese legal discourses are firstly characterized, and then a 16-valued classification of information units for macro-structure of discourse relations and a 25-valued classification of information elements for micro-structure of discourse relations are introduced. The paper also describes how the annotation strategy procedure is designed and the annotation conduction based on the above characterization.","","978-1-5386-1981-0","10.1109/IALP.2017.8300536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8300536","discourse annotation;discourse information;information knot;information element;info-tagging","Pragmatics;Law;Tagging;Natural language processing;Tools;Information processing","law administration;natural language processing;pattern classification;text analysis","Chinese legal discourses;information units;discourse relations;Chinese legal corpus;Discourse Information Theory;corpus for the legal information processing system;CLIPS;information element classification","","","","9","","22 Feb 2018","","","IEEE","IEEE Conferences"
"SigmaLaw-ABSA: Dataset for Aspect-Based Sentiment Analysis in Legal Opinion Texts","C. R. Mudalige; D. Karunarathna; I. Rajapaksha; N. d. Silva; G. Ratnayaka; A. S. Perera; R. Pathirana","University of Moratuwa,Department of Computer Science & Engineering; University of Moratuwa,Department of Computer Science & Engineering; University of Moratuwa,Department of Computer Science & Engineering; University of Moratuwa,Department of Computer Science & Engineering; University of Moratuwa,Department of Computer Science & Engineering; University of Moratuwa,Department of Computer Science & Engineering; University of Colombo,Faculty of Law","2020 IEEE 15th International Conference on Industrial and Information Systems (ICIIS)","8 Feb 2021","2020","","","488","493","Aspect-Based Sentiment Analysis (ABSA) has been prominent and ongoing research over many different domains, but it is not widely discussed in the legal domain. A number of publicly available datasets for a wide range of domains usually fulfill the needs of researchers to perform their studies in the field of ABSA. To the best of our knowledge, there is no publicly available dataset for the Aspect (Party) Based Sentiment Analysis for legal opinion texts. Therefore, creating a publicly available dataset for the research of ABSA for the legal domain can be considered as a task with significant importance. In this study, we introduce a manually annotated legal opinion text dataset (SigmaLaw-ABSA) intended towards facilitating researchers for ABSA tasks in the legal domain. SigmaLaw-ABSA consists of legal opinion texts in the English language which have been annotated by human judges. This study discusses the sub-tasks of ABSA relevant to the legal domain and how to use the dataset to perform them. This paper also describes the statistics of the dataset and as a baseline, we present some results on the performance of some existing deep learning based systems on the SigmaLaw-ABSA dataset.","2164-7011","978-1-7281-8524-8","10.1109/ICIIS51140.2020.9342650","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342650","Aspect-Based Sentiment Analysis;Legal Domain;Information extraction;Natural Language Processing","Deep learning;Sentiment analysis;Law;Conferences;Data mining;Task analysis;Information systems","data mining;deep learning (artificial intelligence);law administration;sentiment analysis","aspect-based sentiment analysis;legal domain;publicly available dataset;manually annotated legal opinion text dataset;ABSA tasks;SigmaLaw-ABSA dataset;English language;human judges;deep learning based systems","","","","28","","8 Feb 2021","","","IEEE","IEEE Conferences"
"A Method of Legal Text Formalization","D. Lang; S. Huang; T. Lv","Comput. Sci. & Technol., Harbin Eng. Univ., Harbin, China; Comput. Sci. & Technol., Harbin Eng. Univ., Harbin, China; Comput. Sci. & Technol., Harbin Eng. Univ., Harbin, China","2012 Sixth International Conference on Internet Computing for Science and Engineering","16 Jul 2012","2012","","","26","30","Knowledge representation and reasoning is a very critical issue on how to understand and storage knowledge. According to the clear logic structure and strict language structure in legal texts, this paper presents a method of legal text formalization using natural language understanding, based on which we modeled legal texts using CTL. After finishing these steps automatically, formal text could be a foundation of future knowledge discovering and formal reasoning. At last an experiment revealed that compared to human experts, this method is more effective and efficient on the aspect of formalization and reasoning.","2330-9857","978-0-7695-4705-3","10.1109/ICICSE.2012.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6239780","formalization;legal text;natural language understanding;CTL","Law;Insurance;Unemployment;Computers;Cognition;Standards","formal logic;knowledge representation;law;natural language processing;text analysis","legal text formalization;Knowledge representation;storage knowledge;clear logic structure;strict language structure;natural language understanding;CTL;knowledge discovering;formal reasoning","","","","18","","16 Jul 2012","","","IEEE","IEEE Conferences"
"Towards an Arabic legal ontology based on documents properties extraction","I. Bouaziz Mezghanni; F. Gargouri","MIRACL Laboratory, ISIM Sfax, TUNISIA; MIRACL Laboratory, ISIM Sfax, TUNISIA","2015 IEEE/ACS 12th International Conference of Computer Systems and Applications (AICCSA)","9 Jul 2016","2015","","","1","8","Legal information presents a need for every citizen of a State subject to the rule of law or for any organization, legal entity recognized as a legal actor with rights and duties. The formalization of law through legal ontologies has proved their increasingly prominent role in representing, processing and retrieving legal information. Based on this knowledge, it is possible to represent and to make inferences about the semantic content of legal documents. This paper investigates the semi-automatic learning of an ontology from Arabic legal documents. We aim to exploit document properties in order to generate concepts and relations of the ontology. Some experiments were conducted in order to evaluate our approach. The initial results seem promising.","2161-5330","978-1-5090-0478-2","10.1109/AICCSA.2015.7507219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7507219","legal ontology learning;legal information retrieval;document properties;compound terms","Ontologies;Law;Pragmatics;Semantics;Compounds;Dictionaries","document handling;information retrieval;law administration;ontologies (artificial intelligence)","semiautomatic ontology learning;legal document semantic content;legal information representation;legal information processing;legal information retrieval;legal entity;legal information;document properties extraction;Arabic legal ontology","","","","14","","9 Jul 2016","","","IEEE","IEEE Conferences"
"Learning of Legal Ontology Supporting the User Queries Satisfaction","I. B. Mezghanni; F. Gargouri","MIRACL Lab., ISIM, Sfax, Tunisia; MIRACL Lab., ISIM, Sfax, Tunisia","2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT)","20 Oct 2014","2014","1","","414","418","In recent years, the development of legal ontologies has increased significantly with the diversity of their applications known as complicated due to the complexity of their domain. In the preliminary part of this paper, we introduce the major steps in the learning process, then we present some works interested in Arabic ontology learning. The rest of the paper serves to propose our approach for ontology learning from Tunisian Legal Texts designed for legal information retrieval. The search process that we suggest exploits the user's profile and uses a query reformulation mechanism based on the learned ontology. The purpose of the system is to satisfy a user's specific retrieval requirement by finding the best response to his request.","","978-1-4799-4143-8","10.1109/WI-IAT.2014.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6927573","legal ontology learning;query reformulation mechanism;legal information retrieval system","Ontologies;Law;Context;Information retrieval;Semantics;Pragmatics","learning (artificial intelligence);natural language processing;ontologies (artificial intelligence);query formulation;query processing;user interfaces","legal ontology;user queries satisfaction;Arabic ontology learning process;Tunisian legal texts;legal information retrieval;search process;user profile;query reformulation mechanism","","3","","12","","20 Oct 2014","","","IEEE","IEEE Conferences"
"New tools for e-justice: legal research available to any citizen","J. Cano; C. E. Jimenez; R. Hernandez; S. Ros","Constitutional Court of Spain IEEE e-Government; Department of Justice of the Autonomous Government of Catalonia, Spain. IEEE e-Government; Universidad Nacional de Educacion a DistanciaUNED, Spain; Universidad Nacional de Educacion a DistanciaUNED, Spain","2015 Second International Conference on eDemocracy & eGovernment (ICEDEG)","1 Jun 2015","2015","","","108","111","New tools within the e-Justice field are emerging helped by advances in technology as well as the social changes given by the Information & Knowledge Society, but the judiciary is often considered as a conservative field, traditionally very formalized and pre-established, where legal actors have rigid roles to interact. Electronic justice is an essential part of e- Administration within the justice field for shaping a modern public administration of justice, and openness in public services is becoming more and more a key concept. In this paper, we show a projection of these concepts in a new software introduced as a real case, deployed and put into operation in a court of last instance. A closer and more citizen-centric approach has been the starting point for development and can be a model for promoting research in e-justice for all audiences, experts and amateurs. This work provides an innovative vision of e-justice ICT based on the concept of closer to citizens as a key element in the development of ICT in legal issues. For this purpose the factors that make electronic justice is introduced, putting in context the research in the legal field and how a more open justice with the citizen as the first requirement for a judicial system can be considered. Finally a real implementation is presented.","","978-3-9075-8913-7","10.1109/ICEDEG.2015.7114455","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7114455","electronic justice;open data;semantic interoperability;citizen-centered ICT;open justice","Law;Databases;Electronic government;Semantics;Context","law administration;open systems","judicial system;electronic justice;legal issues;e-justice ICT;citizen-centric approach;public service openness;public administration;e-administration;legal actors;conservative field;information-and-knowledge society;social changes;legal research","","7","","8","","1 Jun 2015","","","IEEE","IEEE Conferences"
"The legal research on intellectual property rights in global supply chain integration","X. Liu; M. Shen","School of Liberal Arts and Law, Tianjin University, 300072, China; School of Liberal Arts and Law, Tianjin University, 300072, China","2011 IEEE 18th International Conference on Industrial Engineering and Engineering Management","10 Oct 2011","2011","Part 3","","1570","1572","The competitive advantage of global supply chain integration management mode was derived from patents, technical secrets and other intellectual property acquisition; however, there were some intellectual property problems in the big external environment and small internal supply chain environment, by which the cooperation risks between enterprises were increased. Criteria standardization, monopoly of intellectual property, openness of technical standards and improvement of patent licensing system were researched in this thesis. The corresponding measures and advices were proposed to cope with the Intellectual property ownership, definition and protection problems between supply chain members in the process of global integration.","","978-1-61284-449-7","10.1109/ICIEEM.2011.6035459","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035459","Intellectual property;global supply chain integration;technical standards;patent licensing","Licenses;Patents;Supply chains;Standards;Law","industrial property;supply chain management","legal research;intellectual property rights;competitive advantage;global supply chain integration management;intellectual property acquisition;criteria standardization;technical standards;patent licensing system","","","","5","","10 Oct 2011","","","IEEE","IEEE Conferences"
